,Clump,Team,Estimator,accuracy,HV
80,2,Browns,LogisticRegression(),0.8048780487804879,V
71,2,Lions,LogisticRegression(),0.7804878048780488,V
93,2,Bills,LogisticRegression(),0.775,H
74,2,Chargers,LogisticRegression(),0.7619047619047619,H
68,2,Ravens,LogisticRegression(),0.7619047619047619,H
66,2,Panthers,LogisticRegression(),0.7142857142857143,V
90,2,Patriots,LogisticRegression(),0.7083333333333334,H
79,2,Dolphins,KNeighborsClassifier(),0.7073170731707317,H
76,2,Jets,KNeighborsClassifier(),0.7073170731707317,H
92,2,Steelers,LogisticRegression(),0.7045454545454546,H
85,2,Saints,LogisticRegression(),0.6976744186046512,H
81,2,Raiders,KNeighborsClassifier(),0.6904761904761905,H
94,2,Vikings,RandomForestClassifier(),0.6904761904761905,V
89,2,Cowboys,LogisticRegression(),0.6904761904761905,H
67,2,49ers,LogisticRegression(),0.6904761904761905,H
91,2,Bengals,LogisticRegression(),0.6829268292682927,V
82,2,Packers,LogisticRegression(),0.6818181818181818,V
95,2,Texans,LogisticRegression(),0.6756756756756757,V
78,2,Broncos,KNeighborsClassifier(),0.6744186046511628,H
83,2,Giants,BaggingClassifier(),0.6666666666666666,H
69,2,Jaguars,LogisticRegression(),0.6666666666666666,V
75,2,Seahawks,LogisticRegression(),0.6590909090909091,V
87,2,Redskins,BaggingClassifier(),0.6585365853658537,V
65,2,Colts,LogisticRegression(),0.6511627906976745,H
64,2,Bears,RandomForestClassifier(),0.65,V
88,2,Falcons,KNeighborsClassifier(),0.6428571428571429,H
73,2,Eagles,LogisticRegression(),0.6363636363636364,H
77,2,Titans,KNeighborsClassifier(),0.6097560975609756,H
70,2,Buccaneers,LogisticRegression(),0.6097560975609756,H
86,2,Rams,KNeighborsClassifier(),0.5952380952380952,H
72,2,Cardinals,BaggingClassifier(),0.5952380952380952,H
84,2,Chiefs,KNeighborsClassifier(),0.5121951219512195,V
